tick	_total	create	finish	memory	needList	roomUpdate	run
17547771	5435,5	46,9	0,1	1181,6	704,1	66,4	3431,4
17547871	6117,1	45,2	0,1	1191,2	753,7	65,1	4056,6
17548071	4657,5	77,8	0,1	1413,6	720,6	82,7	2358,2
17548171	5689,1	116,3	0,2	1585	729,7	79,1	3172,2
17548271	5569,4	53,5	0,1	1797,9	708,6	79,2	2924,1
17548371	5283,4	84,3	0,2	1582,5	734,2	65,2	2809,8
17548471	5238,7	121,5	0,2	1840,9	739,1	68,9	2461,3
17548571	5341,7	57,3	0,2	1719,1	659,2	71,7	2827,3
17548671	5664,9	88,2	0,2	1795,8	714,6	72,3	2987,4
17548771	5255,2	9,5	0,2	1717,4	771,3	70,5	2680
17548871	5341,4	23,9	0,1	1597,4	652,9	82,5	2978,3
17548971	5451,1	49,2	0,3	1557,4	681,2	69,5	3087
17549071	5546,6	44,7	0,1	1579,6	795,5	76,8	3043,7
17549171	5183,4	85,2	0,1	1685,5	652,7	82,7	2660,2
17549271	5251,3	144,5	0,2	1574,1	626,7	69,4	2831,1
17549371	5500,7	53,4	0,1	1768,4	644,4	94,9	2923,7
17549471	6140,3	66,5	0,1	1903,6	630,4	69,6	3464,2
17549572	5365,7	66,5	0,1	1633,1	655,9	72,9	2930,8
17549672	5596,8	95,1	0,2	1366,6	651,6	79,2	3398,4
17549772	5562,3	29	0,1	1503,3	587,8	64,3	3372,1
17549872	5753,1	50,9	0,1	1507,5	656,9	59,3	3472,9
17549972	6243	32,5	0,1	1602,4	716,5	67,6	3817
17550072	6086,4	21,3	0,1	1733,6	642,6	65	3603,9
17550172	5887,2	16,8	0,2	1649,2	683,8	79,7	3451,7
17550272	6236,5	8,5	0,1	1763,4	719,5	79,4	3659,6
17550372	6276,5	13,1	0,1	1985,7	662,9	65,1	3543,9
17550472	5743,3	12,6	0,1	1650,3	627,8	66,5	3380,9
17550572	6223,3	14,3	0,1	1701,2	671,1	80,6	3750,3
17550672	6075,6	11,9	0,1	1656,2	663	73,9	3664,4
17550772	5536,2	12,9	0,1	1563,2	664,1	79,2	3210,5
17550872	6403,4	37,6	0,2	1654,4	665,1	82,2	3957,9
17550972	6346,7	60,3	0,1	1682,6	709,8	81	3806,4
17551072	5811,7	17,8	0,1	1638,3	756	70,1	3323,4
17551172	6484,1	25	0,4	1822,9	811,7	76,4	3740,9
17551272	6416,6	18,2	0,2	1783,5	868,4	65,6	3647,4
17551372	5769,3	32,4	0,2	1549,4	735,4	60	3385,4
17551473	6535,6	17,3	0,2	1683,2	770,8	79,4	3977,4
17551573	5979,3	17,5	0,2	1726,7	719,2	64,2	3444,7
17551673	5858,2	21,8	0,2	1582,1	761,6	83,7	3402,2
17551773	6358,6	13,1	0,1	1747,2	732,4	62,6	3796,3
17551873	6328,8	14,4	0,2	1725,8	778	73,2	3718,4
17551973	6144,4	6,7	0,1	1804,5	750,4	67,9	3508,6
17552073	6238,8	17	0,2	1699,5	733,5	86,2	3695,1
17552173	5971,1	65,7	0,1	1579,5	726,2	87,7	3506,8
17552273	5629,6	15,8	0,1	1505,7	738,9	75,5	3288,8
17552373	6554,9	13,4	0,1	1778,2	739,8	78,9	3938
17552473	5864,1	30,6	0,1	1395,4	776,5	65,8	3590
17552573	5930,1	20,9	0,1	1670	729,7	84	3420,1
17552673	6267,4	17,8	0,3	1597,2	709,3	107,7	3827,8
17552772	6613	17,3	0,2	1712,3	771,7	72,6	4031,8
17552872	6727,9	13,8	0,1	1860,8	762,7	94,6	3989,1
17552972	6672,1	18,3	0,1	1807,9	845,9	101,4	3891,5
17553072	6722,2	49,2	0,2	2197,2	764,2	115,1	3589,1
17553172	6083,8	37,7	0,2	1848,7	688,1	66,6	3436,8
17553272	6192,5	64,4	0,2	1733,9	793,5	85	3509,7
17553372	6224,9	36	0,1	1825,8	649,1	71,3	3637,1
17553472	6508,6	15,6	0,2	1905,4	659,2	63,5	3859,5
17553572	6457,1	11,7	0,1	1718	675,4	58,1	3988,2
17553672	6423,7	8,3	0,1	1754,2	720,2	52,6	3882,1
17553772	6301,1	12,1	0,1	1859,4	731,1	85,2	3607,7
17553872	6085,1	17,5	0,6	1913,2	655,6	71,1	3422,3
17553972	6136,2	49,6	0,1	1884,9	727	96,5	3372,6
17554072	5900,1	42,5	0,2	1808	677,3	81,2	3286,2
17554172	6096,5	27,7	0,1	1775,5	681,6	67,6	3539,1
17554272	5914,6	20,1	0,1	1893,3	685,9	64,2	3245,9
17554372	5944,5	16,9	0,1	1906,8	689,2	66,5	3259,7
